attack_first,defense_first,hp_first,name_first,sp_attack_first,sp_defense_first,attack_second,defense_second,hp_second,name_second,sp_attack_second,sp_defense_second,pokedex_number,winner_name
93,67,103,Skuntank,71,61,80,85,75,Vileplume,110,90,435,Skuntank
60,60,90,Phanpy,40,40,100,90,90,Moltres,125,85,146,Moltres
88,50,64,Liepard,88,50,70,80,85,Noivern,97,80,715,Noivern
49,56,49,Finneon,49,61,150,110,100,Swampert,95,110,260,Swampert
50,50,100,Noctowl,86,96,40,52,38,Dewpider,40,72,751,Dewpider
100,66,75,Ambipom,60,66,105,90,70,Lurantis,80,90,424,Ambipom
70,50,50,Mudkip,50,50,105,70,68,Bruxish,70,70,258,Mudkip
23,48,95,Wynaut,23,48,125,230,75,Steelix,55,95,208,Steelix
75,75,78,Dartrix,70,70,120,90,125,Kyurem,170,100,646,Kyurem
180,100,105,Rayquaza,180,100,105,85,85,Gurdurr,40,50,533,Gurdurr
70,30,48,Yungoos,30,30,100,62,123,Gogoat,97,81,673,Gogoat
115,105,60,Kabutops,65,70,110,120,80,Volcanion,130,90,141,Kabutops
115,85,115,Entei,90,75,70,70,75,Oricorio,98,70,244,Entei
50,37,41,Purrloin,50,37,130,75,90,Ursaring,75,75,509,Purrloin
65,50,52,Deino,45,50,65,70,60,Gloom,85,75,633,Deino
47,50,50,Joltik,57,50,160,110,50,Diancie,160,110,595,Joltik
75,75,75,Beheeyem,125,95,70,45,140,Wigglytuff,85,50,606,Beheeyem
84,105,55,Gorebyss,114,75,94,131,74,Ferrothorn,54,116,368,Gorebyss
140,130,45,Wishiwashi,140,135,95,85,71,Vanilluxe,110,95,746,Wishiwashi
60,79,95,Milotic,100,125,35,40,35,Hoppip,35,55,350,Milotic
105,125,50,Mawile,55,95,85,42,60,Murkrow,85,42,303,Mawile
90,80,85,Crobat,70,80,92,75,78,Hawlucha,74,63,701,Hawlucha
95,82,80,Garbodor,60,82,125,100,105,Kangaskhan,60,100,115,Kangaskhan
60,60,90,Phanpy,40,40,40,15,20,Pichu,35,35,172,Pichu
105,65,80,Victreebel,100,70,5,5,100,Happiny,15,65,71,Victreebel
36,38,38,Bunnelby,32,36,87,60,46,Axew,30,40,610,Axew
65,40,40,Zorua,80,40,65,85,50,Dwebble,35,35,557,Dwebble
69,85,55,Bergmite,32,35,70,45,140,Wigglytuff,85,50,712,Bergmite
50,90,40,Skorupi,30,55,90,70,60,Kecleon,60,120,451,Skorupi
50,43,45,Fletchling,40,38,45,160,35,Onix,30,45,95,Onix
53,70,45,Sewaddle,40,60,52,43,39,Charmander,60,50,540,Sewaddle
155,109,95,Gyarados,70,130,140,70,70,Sharpedo,110,65,130,Gyarados
83,57,65,Electabuzz,95,85,65,35,55,Buizel,60,30,418,Buizel
45,40,40,Electrike,65,40,55,30,40,Taillow,30,30,276,Taillow
65,75,110,Reuniclus,125,85,147,90,76,Haxorus,60,70,612,Haxorus
131,95,126,Xerneas,131,98,75,180,95,Slowbro,130,80,80,Slowbro
125,70,75,Azelf,125,70,50,40,50,Tympole,50,40,535,Tympole
145,150,80,Metagross,105,110,41,40,38,Vulpix,50,65,37,Vulpix
104,78,78,Charizard,159,115,100,45,45,Trapinch,45,45,328,Trapinch
40,55,40,Baltoy,40,70,80,80,65,Croconaw,59,63,159,Croconaw
50,37,41,Purrloin,50,37,30,50,45,Gothita,55,65,574,Gothita
27,60,40,Cottonee,37,50,135,60,110,Excadrill,50,65,546,Cottonee
160,110,110,Regigigas,80,110,90,90,75,Houndoom,140,90,229,Houndoom
54,53,53,Inkay,37,46,10,230,20,Shuckle,10,230,213,Shuckle
70,100,50,Aron,40,40,95,90,50,Deoxys,95,90,386,Deoxys
98,63,75,Simisear,98,63,85,50,55,Trumbeak,40,50,732,Trumbeak
46,34,35,Sentret,35,45,44,40,48,Salandit,71,40,161,Sentret
150,70,106,Mewtwo,194,120,45,35,45,Wurmple,20,30,265,Wurmple
24,86,57,Bronzor,24,86,92,75,78,Hawlucha,74,63,701,Hawlucha
100,80,100,Piloswine,60,60,45,35,45,Wurmple,20,30,265,Wurmple
24,86,57,Bronzor,24,86,85,70,65,Eelektrik,75,70,603,Eelektrik
10,10,255,Blissey,75,135,80,90,110,Walrein,95,90,242,Blissey
113,89,137,Lunala,137,107,100,100,100,Celebi,100,100,792,Lunala
30,55,50,Litwick,65,55,91,63,104,Exploud,91,73,607,Litwick
25,45,20,Mime Jr.,70,90,80,50,60,Snubbull,40,40,209,Snubbull
63,52,54,Frogadier,83,56,23,48,95,Wynaut,23,48,657,Frogadier
24,86,57,Bronzor,24,86,70,45,140,Wigglytuff,85,50,40,Wigglytuff
25,35,60,Spoink,70,80,125,40,67,Cranidos,30,30,408,Cranidos
95,125,75,Gliscor,45,75,105,75,105,Muk,65,100,472,Gliscor
105,65,80,Victreebel,100,70,98,63,65,Togedemaru,40,73,71,Victreebel
95,80,60,Parasect,60,80,50,50,80,Cryogonal,95,135,47,Parasect
64,58,58,Charmeleon,80,65,65,67,74,Floette,125,128,5,Charmeleon
53,47,109,Nihilego,127,131,47,75,65,Illumise,73,85,314,Illumise
85,85,95,Quagsire,65,65,120,65,70,Weavile,45,85,195,Quagsire
120,120,120,Arceus,120,120,50,62,50,Trubbish,40,62,493,Arceus
85,60,79,Bibarel,55,60,80,65,43,Corphish,50,35,341,Corphish
20,15,25,Abra,105,55,120,60,144,Hariyama,40,60,63,Abra
63,90,55,Swadloon,50,80,85,40,135,Munchlax,40,85,541,Swadloon
115,105,60,Kabutops,65,70,49,65,45,Chikorita,49,65,141,Kabutops
52,48,50,Psyduck,65,50,125,100,105,Kangaskhan,60,100,115,Kangaskhan
50,100,80,Regice,100,200,46,34,35,Sentret,35,45,161,Sentret
105,75,75,Octillery,105,75,43,53,70,Gulpin,43,53,316,Gulpin
50,40,60,Plusle,85,75,120,70,85,Staraptor,50,60,398,Staraptor
20,40,50,Azurill,20,40,45,48,70,Clefairy,60,65,298,Azurill
70,130,40,Dusclops,60,130,48,48,48,Ditto,48,48,356,Dusclops
105,85,95,Exeggutor,125,75,30,55,43,Luvdisc,40,65,103,Exeggutor
100,85,95,Samurott,108,70,61,40,48,Croagunk,61,40,503,Samurott
80,95,60,Klang,70,85,94,131,74,Ferrothorn,54,116,600,Klang
170,115,108,Garchomp,120,95,80,85,75,Vileplume,110,90,445,Garchomp
23,48,95,Wynaut,23,48,35,50,45,Petilil,70,50,548,Petilil
105,125,50,Mawile,55,95,55,50,55,Eevee,45,65,133,Eevee
100,60,35,Dugtrio,50,70,85,40,50,Cacnea,85,40,51,Dugtrio
58,58,125,Lanturn,76,76,75,70,50,Scraggy,35,70,171,Lanturn
64,60,68,Salazzle,111,60,10,55,20,Magikarp,15,20,758,Salazzle
104,78,78,Charizard,159,115,60,40,45,Torchic,70,50,6,Charizard
59,50,77,Amaura,67,63,82,100,80,Meganium,83,100,154,Meganium
35,30,30,Gastly,100,35,90,90,70,Darkrai,135,90,491,Darkrai
130,100,80,Latios,160,120,70,65,80,Tentacruel,80,120,381,Latios
165,75,64,Banette,93,83,50,50,60,Lombre,60,70,271,Lombre
50,120,60,Magcargo,90,80,65,60,70,Venomoth,90,75,219,Magcargo
62,45,47,Grubbin,55,45,115,85,115,Entei,90,75,244,Entei
72,72,101,Aromatisse,99,89,75,115,100,Suicune,90,115,245,Suicune
105,85,85,Gurdurr,40,50,90,110,70,Drapion,60,75,533,Gurdurr
60,60,60,Misdreavus,85,85,75,45,50,Karrablast,40,45,588,Karrablast
65,34,45,Shinx,40,34,85,55,55,Larvesta,50,55,403,Shinx
80,35,40,Mankey,35,45,58,80,72,Sigilyph,103,80,561,Sigilyph
52,48,50,Psyduck,65,50,92,65,80,Seaking,65,80,119,Seaking
55,75,70,Vullaby,45,65,115,105,60,Kabutops,65,70,629,Vullaby
67,85,60,Whimsicott,77,75,105,70,68,Bruxish,70,70,547,Whimsicott
100,120,80,Latias,140,150,67,85,60,Whimsicott,77,75,547,Whimsicott
70,65,60,Roserade,125,105,40,55,30,Meditite,40,55,307,Meditite
62,80,60,Bayleef,63,80,75,70,50,Scraggy,35,70,153,Bayleef
140,230,70,Aggron,60,80,35,55,50,Cascoon,25,25,306,Aggron
105,75,105,Muk,65,100,150,90,100,Kyogre,180,160,89,Muk
52,48,50,Psyduck,65,50,57,40,46,Nidoran♂,40,40,32,Nidoran♂
40,15,20,Pichu,35,35,115,75,85,Lycanroc,55,75,745,Lycanroc
45,40,40,Pidgey,35,35,90,120,65,Weezing,85,70,110,Weezing
95,75,105,Seismitoad,85,75,70,30,48,Yungoos,30,30,537,Seismitoad
30,30,40,Wingull,55,30,65,80,60,Gengar,170,95,278,Wingull
120,85,63,Crawdaunt,90,55,120,100,100,Reshiram,150,120,643,Reshiram
93,67,103,Skuntank,71,61,20,30,40,Ledyba,40,80,165,Ledyba
90,129,91,Cobalion,90,72,75,90,65,Dragalge,97,123,691,Dragalge
70,30,48,Yungoos,30,30,100,121,216,Zygarde,91,95,718,Zygarde
20,40,50,Azurill,20,40,131,100,70,Dhelmise,86,90,298,Azurill
80,70,75,Golbat,65,75,5,5,250,Chansey,35,105,42,Golbat
73,70,85,Hypno,73,115,43,53,70,Gulpin,43,53,97,Hypno
80,102,70,Vespiquen,80,102,75,50,55,Staravia,40,40,397,Staravia
120,120,100,Dialga,150,100,85,60,79,Bibarel,55,60,483,Dialga
100,60,90,Shiftry,90,60,52,43,39,Cyndaquil,60,50,155,Cyndaquil
82,100,80,Meganium,83,100,120,65,70,Weavile,45,85,154,Meganium
45,40,40,Electrike,65,40,52,43,39,Charmander,60,50,4,Charmander
125,75,75,Sawk,30,75,62,67,70,Nidorina,55,55,30,Nidorina
100,89,60,Scolipede,55,69,35,55,50,Silcoon,25,25,545,Scolipede
30,32,40,Surskit,50,52,78,73,110,Whiscash,76,71,340,Whiscash
120,120,90,Donphan,60,60,110,75,70,Sceptile,145,85,254,Sceptile
180,100,105,Rayquaza,180,100,66,44,55,Buneary,44,56,427,Buneary
46,34,35,Sentret,35,45,131,100,70,Dhelmise,86,90,161,Sentret
60,75,60,Servine,60,75,35,45,45,Cherubi,62,53,496,Servine
35,55,50,Cascoon,25,25,80,80,65,Croconaw,59,63,159,Croconaw
130,80,110,Mamoswine,70,60,60,70,100,Jellicent,85,105,473,Mamoswine
92,65,70,Basculin,80,55,165,95,68,Gallade,65,115,550,Basculin
75,80,95,Slowking,100,110,115,85,70,Tapu Koko,95,75,785,Tapu Koko
100,100,100,Jirachi,100,100,85,50,55,Trumbeak,40,50,732,Trumbeak
70,120,120,Cresselia,75,130,65,60,65,Espeon,130,95,488,Cresselia
62,67,70,Nidorina,55,55,75,60,55,Emolga,75,60,30,Nidorina
70,73,95,Clefable,95,90,100,100,100,Victini,100,100,494,Victini
53,48,50,Pansear,53,48,50,80,100,Azumarill,60,80,184,Azumarill
10,55,20,Magikarp,15,20,120,53,50,Hitmonlee,35,110,129,Magikarp
104,78,78,Charizard,159,115,115,80,85,Eelektross,105,80,6,Charizard
60,70,65,Porygon,85,75,60,45,50,Roselia,100,80,137,Porygon
90,55,52,Farfetch'd,58,62,50,37,41,Purrloin,50,37,509,Purrloin
60,50,60,Deerling,40,50,140,95,105,Conkeldurr,55,65,585,Deerling
55,60,60,Ribombee,95,70,105,60,65,Primeape,60,70,57,Primeape
50,40,50,Swinub,30,30,75,75,78,Dartrix,70,70,723,Dartrix
52,90,51,Comfey,82,110,22,60,45,Spewpa,27,30,764,Comfey
70,48,43,Phantump,50,60,25,45,20,Mime Jr.,70,90,708,Phantump
100,120,75,Sandslash,25,65,100,89,60,Scolipede,55,69,545,Scolipede
60,44,35,Ekans,40,54,89,71,83,Xurkitree,173,71,23,Ekans
59,50,77,Amaura,67,63,64,45,41,Dratini,50,50,147,Dratini
140,230,70,Aggron,60,80,105,90,92,Hydreigon,125,90,635,Hydreigon
65,64,50,Totodile,44,48,52,50,80,Vivillon,90,50,158,Totodile
82,78,80,Golduck,95,80,125,100,100,Mudsdale,55,85,750,Mudsdale
53,48,50,Pansear,53,48,25,45,20,Mime Jr.,70,90,513,Pansear
55,80,55,Sandygast,70,45,70,61,78,Linoone,50,61,264,Linoone
120,120,90,Donphan,60,60,93,55,90,Pignite,70,55,499,Pignite
60,44,35,Ekans,40,54,124,80,89,Golurk,55,80,23,Ekans
73,70,85,Hypno,73,115,130,90,106,Ho-Oh,110,154,250,Ho-Oh
85,140,70,Torkoal,85,70,55,99,40,Whirlipede,40,79,544,Whirlipede
25,45,76,Munna,67,55,30,35,45,Caterpie,20,20,517,Munna
100,70,80,Sawsbuck,60,70,120,65,70,Weavile,45,85,461,Weavile
105,70,68,Bruxish,70,70,15,20,20,Feebas,10,55,349,Feebas
38,39,44,Flabébé,61,79,40,70,85,Mantine,80,140,226,Mantine
124,80,89,Golurk,55,80,60,60,65,Persian,75,65,623,Golurk
100,85,120,Throh,30,85,100,121,216,Zygarde,91,95,718,Zygarde
80,95,50,Bonsly,10,45,10,10,255,Blissey,75,135,438,Bonsly
100,63,75,Zebstrika,80,63,75,50,70,Stufful,45,50,523,Zebstrika
25,50,45,Kakuna,25,25,105,85,95,Exeggutor,125,75,103,Exeggutor
50,100,80,Regice,100,200,49,65,45,Chikorita,49,65,152,Chikorita
80,70,70,Froslass,80,70,50,50,50,Snorunt,50,50,478,Froslass
60,70,65,Porygon,85,75,59,50,77,Amaura,67,63,137,Porygon
165,75,64,Banette,93,83,82,57,47,Crabrawler,42,47,739,Crabrawler
80,90,85,Porygon2,105,95,48,66,62,Swirlix,59,57,684,Swirlix
90,45,61,Ninjask,50,50,55,55,55,Elgyem,85,55,291,Ninjask
48,45,60,Drowzee,43,90,70,61,78,Linoone,50,61,264,Linoone
74,74,80,Primarina,126,116,60,70,65,Porygon,85,75,137,Porygon
10,55,20,Magikarp,15,20,65,40,45,Rockruff,30,40,129,Magikarp
117,70,66,Fraxure,40,50,105,79,50,Hitmonchan,35,110,611,Fraxure
70,45,55,Growlithe,70,50,90,115,65,Scrafty,45,115,560,Scrafty
145,67,72,Greninja,153,71,100,90,90,Moltres,125,85,658,Greninja
125,100,65,Bisharp,60,70,55,35,40,Fomantis,50,35,625,Bisharp
75,85,55,Roggenrola,25,25,75,90,50,Sandshrew,10,35,524,Roggenrola
139,139,107,Buzzwole,53,53,80,70,85,Porygon-Z,135,75,794,Buzzwole
80,90,110,Walrein,95,90,78,52,64,Monferno,78,52,391,Monferno
40,50,55,Frillish,65,85,60,50,60,Deerling,40,50,592,Frillish
98,63,75,Simisage,98,63,100,70,80,Sawsbuck,60,70,512,Simisage
135,130,85,Gigalith,60,80,100,66,75,Ambipom,60,66,424,Ambipom
90,50,65,Weepinbell,85,45,49,56,49,Finneon,49,61,70,Weepinbell
53,70,45,Sewaddle,40,60,80,80,80,Vigoroth,55,55,540,Sewaddle
95,50,45,Anorith,40,50,109,105,95,Torterra,75,85,347,Anorith
105,115,72,Barbaracle,54,86,100,95,75,Tauros,40,70,128,Tauros
95,85,65,Qwilfish,55,55,92,75,78,Hawlucha,74,63,701,Hawlucha
100,60,73,Seviper,100,60,100,100,100,Jirachi,100,100,336,Seviper
75,80,165,Alomomola,40,45,75,180,95,Slowbro,130,80,80,Slowbro
115,85,70,Tapu Koko,95,75,100,100,100,Manaphy,100,100,490,Manaphy
50,34,90,Drifloon,60,44,100,85,60,Medicham,80,85,425,Drifloon
75,90,50,Sandshrew,10,35,75,30,35,Pikipek,30,30,731,Pikipek
62,50,60,Snover,62,60,45,40,59,Bidoof,35,40,459,Snover
60,70,70,Cherrim,87,78,100,100,100,Victini,100,100,421,Cherrim
40,50,65,Duosion,125,60,125,140,75,Golisopod,60,90,768,Golisopod
20,15,25,Abra,105,55,60,95,50,Magneton,120,70,63,Abra
160,80,80,Blaziken,130,80,100,80,100,Piloswine,60,60,257,Blaziken
52,43,39,Charmander,60,50,150,70,106,Mewtwo,194,120,4,Charmander
27,60,40,Cottonee,37,50,40,60,45,Swablu,40,75,546,Cottonee
100,85,60,Medicham,80,85,55,99,40,Whirlipede,40,79,544,Whirlipede
10,230,20,Shuckle,10,230,92,108,50,Spiritomb,92,108,213,Shuckle
45,70,60,Gothorita,75,85,85,125,50,Sableye,85,115,302,Sableye
80,50,60,Snubbull,40,40,145,90,89,Landorus,105,80,209,Snubbull
35,30,30,Gastly,100,35,125,140,75,Golisopod,60,90,92,Gastly
40,70,30,Horsea,70,25,65,48,66,Skiddo,62,57,116,Horsea
48,48,48,Ditto,48,48,75,35,50,Bellsprout,70,30,69,Bellsprout
50,62,50,Trubbish,40,62,55,30,40,Starly,30,30,568,Trubbish
150,120,100,Zekrom,120,100,40,40,40,Slugma,70,40,644,Zekrom
90,45,170,Wailord,90,45,30,30,60,Hoothoot,36,56,163,Hoothoot
60,55,63,Pidgeotto,50,50,50,50,100,Noctowl,86,96,164,Noctowl
70,80,85,Noivern,97,80,70,55,55,Aipom,40,55,715,Noivern
100,60,35,Dugtrio,50,70,105,60,65,Primeape,60,70,51,Dugtrio
95,95,50,Hitmontop,35,110,145,88,70,Lucario,140,70,448,Lucario
44,50,62,Ducklett,44,50,80,60,75,Furfrou,65,90,580,Ducklett
29,31,43,Cosmog,29,31,85,50,65,Torracat,80,50,726,Torracat
35,45,45,Cherubi,62,53,100,121,216,Zygarde,91,95,420,Cherubi
90,55,52,Farfetch'd,58,62,93,55,90,Pignite,70,55,499,Pignite
135,130,85,Gigalith,60,80,80,80,65,Croconaw,59,63,159,Croconaw
125,100,105,Kangaskhan,60,100,80,35,40,Mankey,35,45,56,Mankey
50,80,75,Chimecho,95,90,85,55,55,Larvesta,50,55,358,Chimecho
52,48,50,Psyduck,65,50,80,55,75,Timburr,25,35,532,Timburr
140,95,105,Conkeldurr,55,65,181,131,59,Kartana,59,31,534,Conkeldurr
125,140,75,Golisopod,60,90,40,40,55,Mareep,65,45,768,Golisopod
65,80,60,Gengar,170,95,107,75,78,Decidueye,100,100,724,Decidueye
137,37,71,Pheromosa,137,37,89,116,67,Bronzong,79,116,795,Pheromosa
73,75,65,Volbeat,47,85,82,64,71,Purugly,64,59,432,Purugly
90,140,60,Lairon,50,50,100,100,100,Celebi,100,100,305,Lairon
50,70,60,Dustox,50,90,160,100,150,Slaking,95,65,269,Dustox
60,70,100,Jellicent,85,105,120,75,80,Toucannon,75,75,733,Toucannon
50,62,50,Trubbish,40,62,136,94,65,Lopunny,54,96,428,Lopunny
45,90,31,Nincada,30,30,60,60,60,Slakoth,35,35,287,Slakoth
40,48,52,Steenee,40,48,120,75,80,Toucannon,75,75,762,Steenee
130,75,90,Ursaring,75,75,30,50,40,Voltorb,55,55,100,Voltorb
68,72,86,Pyroar,109,66,70,80,90,Dewgong,70,95,668,Pyroar
20,30,40,Ledyba,40,80,65,60,70,Venomoth,90,75,165,Ledyba
110,80,70,Scyther,55,80,60,130,55,Pyukumuku,30,130,771,Pyukumuku
55,35,35,Poochyena,30,30,82,100,80,Meganium,83,100,154,Meganium
55,45,45,Delibird,65,45,90,72,91,Virizion,90,129,640,Virizion
73,75,65,Volbeat,47,85,105,85,95,Exeggutor,125,75,103,Exeggutor
120,53,50,Hitmonlee,35,110,85,69,60,Watchog,60,69,505,Watchog
61,40,48,Croagunk,61,40,130,80,95,Beartic,70,80,614,Beartic
105,79,50,Hitmonchan,35,110,55,50,60,Venonat,40,55,48,Venonat
55,55,68,Rowlet,50,50,55,45,69,Foongus,55,55,590,Foongus
75,70,50,Scraggy,35,70,55,42,49,Glameow,42,37,431,Glameow
115,105,60,Kabutops,65,70,115,90,95,Incineroar,80,90,727,Incineroar
100,100,100,Manaphy,100,100,63,37,45,Elekid,65,55,490,Manaphy
100,100,100,Manaphy,100,100,78,73,110,Whiscash,76,71,340,Whiscash
145,130,95,Salamence,120,90,100,95,75,Tauros,40,70,128,Tauros
100,123,80,Venusaur,122,120,74,74,80,Primarina,126,116,3,Venusaur
75,60,75,Dewott,83,60,95,180,50,Cloyster,85,45,502,Dewott
30,35,40,Noibat,45,40,50,95,50,Cubone,40,50,714,Noibat
75,115,70,Tapu Fini,95,130,55,30,40,Taillow,30,30,276,Taillow
62,50,60,Snover,62,60,45,40,40,Pidgey,35,35,16,Pidgey
82,64,71,Purugly,64,59,110,65,160,Snorlax,65,110,432,Purugly
107,75,78,Decidueye,100,100,62,63,60,Ivysaur,80,80,724,Decidueye
128,90,100,Meloetta,77,77,105,85,85,Gurdurr,40,50,648,Meloetta
130,90,106,Ho-Oh,110,154,68,83,99,Tropius,72,87,250,Ho-Oh
52,43,39,Cyndaquil,60,50,25,45,20,Mime Jr.,70,90,155,Cyndaquil
70,40,40,Riolu,35,40,71,70,75,Raticate,40,80,20,Raticate
64,85,35,Clamperl,74,55,75,60,45,Bagon,40,30,366,Clamperl
55,65,90,Lunatone,95,85,75,110,85,Palossand,100,75,337,Lunatone
50,80,75,Chimecho,95,90,60,80,90,Oranguru,90,110,358,Chimecho
85,42,60,Murkrow,85,42,90,120,65,Weezing,85,70,198,Murkrow
49,65,45,Chikorita,49,65,125,80,120,Bewear,55,60,760,Bewear
50,50,100,Noctowl,86,96,30,40,45,Solosis,105,50,164,Noctowl
30,15,90,Igglybuff,40,20,120,90,125,Kyurem,170,100,646,Kyurem
80,95,50,Bonsly,10,45,110,80,90,Arcanine,100,80,59,Arcanine
130,80,95,Beartic,70,80,70,45,58,Gible,40,45,614,Beartic
29,31,43,Cosmog,29,31,155,120,65,Pinsir,65,90,127,Pinsir
55,39,45,Patrat,35,39,60,70,70,Cherrim,87,78,421,Cherrim
108,133,74,Carracosta,83,65,185,115,80,Heracross,40,105,214,Heracross
65,64,50,Totodile,44,48,105,90,92,Hydreigon,125,90,635,Hydreigon
95,90,50,Deoxys,95,90,60,30,40,Spearow,31,31,21,Spearow
125,40,67,Cranidos,30,30,85,49,60,Luxio,60,49,404,Luxio
15,20,20,Feebas,10,55,5,5,100,Happiny,15,65,349,Feebas
42,118,30,Shieldon,42,88,91,63,104,Exploud,91,73,410,Shieldon
90,55,52,Farfetch'd,58,62,95,82,80,Garbodor,60,82,569,Garbodor
90,130,106,Lugia,90,154,52,168,60,Bastiodon,47,138,249,Lugia
25,28,50,Cleffa,45,55,55,90,60,Chandelure,145,90,173,Cleffa
75,110,85,Palossand,100,75,50,40,55,Minccino,40,40,572,Minccino
100,60,35,Dugtrio,50,70,130,80,110,Mamoswine,70,60,473,Mamoswine
90,110,70,Drapion,60,75,120,53,50,Hitmonlee,35,110,106,Hitmonlee
92,65,70,Basculin,80,55,55,80,55,Sandygast,70,45,550,Basculin
105,105,70,Boldore,50,40,132,77,97,Crabominable,62,67,525,Boldore
140,130,115,Rhyperior,55,55,40,48,52,Steenee,40,48,762,Steenee
64,45,41,Dratini,50,50,181,131,59,Kartana,59,31,798,Kartana
50,40,55,Minccino,40,40,80,85,75,Vileplume,110,90,572,Minccino
95,82,80,Garbodor,60,82,70,70,75,Oricorio,98,70,569,Garbodor
65,45,65,Yanma,75,45,100,120,75,Sandslash,25,65,28,Sandslash
84,70,70,Pupitar,65,70,170,115,108,Garchomp,120,95,247,Pupitar
53,48,50,Pansage,53,48,25,25,28,Ralts,45,35,280,Ralts
93,67,103,Skuntank,71,61,65,70,60,Gloom,85,75,44,Gloom
139,139,107,Buzzwole,53,53,150,60,65,Absol,115,60,794,Buzzwole
65,60,65,Espeon,130,95,64,60,68,Salazzle,111,60,758,Salazzle
110,130,65,Leafeon,60,65,42,118,30,Shieldon,42,88,410,Shieldon
97,66,85,Heatmor,105,66,50,50,100,Noctowl,86,96,164,Noctowl
50,90,40,Skorupi,30,55,29,131,43,Cosmoem,29,131,451,Skorupi
95,85,65,Qwilfish,55,55,92,108,50,Spiritomb,92,108,442,Spiritomb
95,95,95,Silvally,95,95,50,50,36,Vanillite,65,60,773,Silvally
65,34,45,Shinx,40,34,110,80,90,Arcanine,100,80,59,Arcanine
25,41,37,Kricketot,25,41,69,95,60,Wormadam,69,95,413,Wormadam
